threshold,accuracy,sensitivity,specificity,f1,roc_auc,sens_minus_spec
0.705,0.6959247648902821,0.34057971014492755,0.9668508287292817,0.49214659685863876,0.8389783009047964,-0.6262711185843541
0.71,0.6959247648902821,0.34057971014492755,0.9668508287292817,0.49214659685863876,0.8389783009047964,-0.6262711185843541
0.715,0.6959247648902821,0.34057971014492755,0.9668508287292817,0.49214659685863876,0.8389783009047964,-0.6262711185843541
0.72,0.6927899686520376,0.3333333333333333,0.9668508287292817,0.4842105263157895,0.8389783009047964,-0.6335174953959484
0.725,0.6959247648902821,0.3333333333333333,0.9723756906077348,0.48677248677248675,0.8389783009047964,-0.6390423572744015
0.73,0.6927899686520376,0.32608695652173914,0.9723756906077348,0.4787234042553192,0.8389783009047964,-0.6462887340859956
0.735,0.6927899686520376,0.32608695652173914,0.9723756906077348,0.4787234042553192,0.8389783009047964,-0.6462887340859956
0.74,0.6896551724137931,0.3188405797101449,0.9723756906077348,0.47058823529411764,0.8389783009047964,-0.6535351108975899
0.745,0.6896551724137931,0.3115942028985507,0.9779005524861878,0.4648648648648649,0.8389783009047964,-0.6663063495876371
0.75,0.6833855799373041,0.2971014492753623,0.9779005524861878,0.44808743169398907,0.8389783009047964,-0.6807991032108255
0.755,0.6833855799373041,0.2971014492753623,0.9779005524861878,0.44808743169398907,0.8389783009047964,-0.6807991032108255
0.76,0.6833855799373041,0.2898550724637681,0.9834254143646409,0.4419889502762431,0.8389783009047964,-0.6935703419008727
0.765,0.6739811912225705,0.26811594202898553,0.9834254143646409,0.4157303370786517,0.8389783009047964,-0.7153094723356554
0.77,0.670846394984326,0.2608695652173913,0.9834254143646409,0.4067796610169492,0.8389783009047964,-0.7225558491472497
0.775,0.6677115987460815,0.2536231884057971,0.9834254143646409,0.3977272727272727,0.8389783009047964,-0.7298022259588438
0.78,0.670846394984326,0.2536231884057971,0.988950276243094,0.4,0.8389783009047964,-0.7353270878372968
0.785,0.664576802507837,0.2391304347826087,0.988950276243094,0.3815028901734104,0.8389783009047964,-0.7498198414604853
0.79,0.6614420062695925,0.2318840579710145,0.988950276243094,0.37209302325581395,0.8389783009047964,-0.7570662182720794
0.795,0.6551724137931034,0.21739130434782608,0.988950276243094,0.35294117647058826,0.8389783009047964,-0.7715589718952679
0.8,0.6551724137931034,0.21739130434782608,0.988950276243094,0.35294117647058826,0.8389783009047964,-0.7715589718952679
0.805,0.6520376175548589,0.21014492753623187,0.988950276243094,0.3431952662721893,0.8389783009047964,-0.778805348706862
0.81,0.6426332288401254,0.18840579710144928,0.988950276243094,0.3132530120481928,0.8389783009047964,-0.8005444791416447
0.815,0.6426332288401254,0.18840579710144928,0.988950276243094,0.3132530120481928,0.8389783009047964,-0.8005444791416447
0.82,0.6394984326018809,0.18115942028985507,0.988950276243094,0.30303030303030304,0.8389783009047964,-0.8077908559532389
0.825,0.6394984326018809,0.18115942028985507,0.988950276243094,0.30303030303030304,0.8389783009047964,-0.8077908559532389
0.83,0.6394984326018809,0.18115942028985507,0.988950276243094,0.30303030303030304,0.8389783009047964,-0.8077908559532389
0.835,0.6394984326018809,0.18115942028985507,0.988950276243094,0.30303030303030304,0.8389783009047964,-0.8077908559532389
0.84,0.6363636363636364,0.17391304347826086,0.988950276243094,0.2926829268292683,0.8389783009047964,-0.8150372327648331
0.845,0.6363636363636364,0.17391304347826086,0.988950276243094,0.2926829268292683,0.8389783009047964,-0.8150372327648331
0.85,0.6363636363636364,0.16666666666666666,0.994475138121547,0.2839506172839506,0.8389783009047964,-0.8278084714548803
0.855,0.6332288401253918,0.15942028985507245,0.994475138121547,0.2732919254658385,0.8389783009047964,-0.8350548482664746
0.86,0.6332288401253918,0.15942028985507245,0.994475138121547,0.2732919254658385,0.8389783009047964,-0.8350548482664746
